Event Name,Time,Distinct ID,City,Country,Operating System,Duration
splash_to_Dashboard,1683536029.541,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Delhi,IN,iOS,7.201
splash_to_Dashboard,1683532813.848,64425593bb62e310a96c76b6::FCE50781-1520-4013-B487-5A0551D96830,Noida,IN,iOS,3.678
splash_to_Dashboard,1683524264.909,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,5.279
splash_to_Dashboard,1683524071.345,6457681a11c6e3f4fc58e952::D9E704F1-E5F9-475D-927B-DE345A3AEA43,Delhi,IN,iOS,4.861
splash_to_Dashboard,1683511621.227,64425593bb62e310a96c76b6::FCE50781-1520-4013-B487-5A0551D96830,Delhi,IN,iOS,30.053
splash_to_Dashboard,1683507887.424,644e2a167e630310bbfb1d97::6CA1C926-91E9-4D6A-9A1B-1BACF0E21F6E,Delhi,IN,iOS,2.966
splash_to_Dashboard,1683491867.414,642bef377757a413d19a8632::BB98EF2F-26CB-4484-BD1E-5DC1687B7A2E,Delhi,IN,iOS,3.24
splash_to_Dashboard,1683487887.295,6422e9d5674dacfa2637d15c::53B362C0-B67F-4921-8559-80A7FDFCF85C,Gurgaon,IN,iOS,5.032
splash_to_Dashboard,1683486771.471,644671a510a89e1ddbf673d1::5783BAD0-00B8-4DE1-B7A9-8AAE218E106D,Delhi,IN,iOS,4.945
splash_to_Dashboard,1683475676.711,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,12.227
splash_to_Dashboard,1683475674.568,642bef377757a413d19a8632::BB98EF2F-26CB-4484-BD1E-5DC1687B7A2E,Delhi,IN,iOS,3.159
splash_to_Dashboard,1683471309.937,641f1bd0674dacfa26bc2c11::6B91AF8D-20EE-401D-BC5A-6EA52230A035,Delhi,IN,iOS,4.887
splash_to_Dashboard,1683470609.336,644e2a167e630310bbfb1d97::6CA1C926-91E9-4D6A-9A1B-1BACF0E21F6E,Delhi,IN,iOS,4.435
splash_to_Dashboard,1683469426.592,6457681a11c6e3f4fc58e952::D9E704F1-E5F9-475D-927B-DE345A3AEA43,Delhi,IN,iOS,5.317
splash_to_Dashboard,1683467975.96,6426bc59041f1d8f6eb0a87f::C25388FA-9283-4AAD-9070-C3D20E7CAD9E,Delhi,IN,iOS,3.289
splash_to_Dashboard,1683466879.279,642d5ac27757a413d1c8d407::635ED81B-6D0B-4C44-AEEB-9D64BAE6E262,Delhi,IN,iOS,3.904
splash_to_Dashboard,1683465038.373,6401eed49f741c4433c564ef::3BFBAC82-0C76-4445-B300-F8EE8E28626A,Gurgaon,IN,iOS,4.082
splash_to_Dashboard,1683463736.733,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Delhi,IN,iOS,5.262
splash_to_Dashboard,1683463580.946,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Delhi,IN,iOS,5.536
splash_to_Dashboard,1683462487.318,6457681a11c6e3f4fc58e952::D9E704F1-E5F9-475D-927B-DE345A3AEA43,Delhi,IN,iOS,5.584
splash_to_Dashboard,1683462458.029,64169b8d674dacfa26a51923::ED244EF2-C697-4F7F-94D6-1B96376EEF02,Delhi,IN,iOS,4482.444
splash_to_Dashboard,1683462395.38,641f1bd0674dacfa26bc2c11::6B91AF8D-20EE-401D-BC5A-6EA52230A035,Delhi,IN,iOS,19.649
splash_to_Dashboard,1683452380.195,642d5ac27757a413d1c8d407::635ED81B-6D0B-4C44-AEEB-9D64BAE6E262,Karnal,IN,iOS,3.786
splash_to_Dashboard,1683449881.134,644671a510a89e1ddbf673d1::5783BAD0-00B8-4DE1-B7A9-8AAE218E106D,Delhi,IN,iOS,329.545
