Event Name,Time,Distinct ID,City,Country,Operating System,Session Length
App Session,1677381035.624,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,146.2
App Session,1677167439.442,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,141.8
App Session,1676951511.29,63f33e134bb1fe648be041ab::02080c00-fd42-42f2-a9e7-8ac36198db6e,Delhi,IN,Android,137.7
App Session,1676951090.37,63f33e134bb1fe648be041ab::02080c00-fd42-42f2-a9e7-8ac36198db6e,Delhi,IN,Android,132.2
App Session,1677154772.342,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,128.3
App Session,1677217233.448,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,126.4
App Session,1676820580.265,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,110.5
App Session,1677160762.472,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,109.6
App Session,1676951247.77,63f33e134bb1fe648be041ab::02080c00-fd42-42f2-a9e7-8ac36198db6e,Delhi,IN,Android,106.9
App Session,1677472532.009,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,103
App Session,1677137746.025,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,101.2
App Session,1677221473.433,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,99.2
App Session,1677031186.704,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,94.9
App Session,1676821925.129,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,94.4
App Session,1677261828.774,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,92.9
App Session,1676482137.699,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,92.1
App Session,1676823620.682,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Gurgaon,IN,Android,91.9
App Session,1676995236.757,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,90.8
App Session,1677223180.691,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,87.4
App Session,1676860904.97,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,87.1
App Session,1677276405.873,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,85.3
App Session,1677217070.939,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,84.9
App Session,1677167275.023,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,82.3
App Session,1677147483.835,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,81.2
App Session,1677390024.296,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,81.1
App Session,1677088198.927,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,77.8
