Event Name,Time,Distinct ID,City,Country,Operating System,UID
AccountDetails,1674418844.116,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Profile,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Dashboard,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
AccountDetails,1674418844.115,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Dashboard,1674418784.539,63cc05c416b08dc72bd8806b::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cc05c416b08dc72bd8806b
Splash,1674418461.44,63cd2e2d16b08dc72bffb0a9::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cd2e2d16b08dc72bffb0a9
Splash,1674418458.847,63cd2e2d16b08dc72bffb0a9::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63cd2e2d16b08dc72bffb0a9
Splash,1674393694.808,6374de4454246f10ad1c3280::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,6374de4454246f10ad1c3280
Splash,1674387746.215,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385508.487,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385327.225,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674385322.363,63109ab074f91004a1949a9e::eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,63109ab074f91004a1949a9e
Splash,1674382869.285,eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,
Splash,1674374649.227,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
PrivacyPolicy,1674306574.917,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
LegalLinks,1674306560.622,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306559.828,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674306558.165,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674306557.765,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306557.301,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674306553.281,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674306438.022,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674306436.854,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674298505.378,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674296959.314,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674296958.823,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674296853.503,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Splash,1674294902.324,eb11cc49-791b-4b82-b522-d4cccdc0abe3,Delhi,IN,Android,
Splash,1674294787.863,6374de4454246f10ad1c3280::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,6374de4454246f10ad1c3280
Dashboard,1674294152.899,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674294144.175,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674294144.175,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674294142.899,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674294137.815,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674294136.383,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674285677.94,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674285676.741,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674285659.916,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
CarDetails,1674285657.851,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674285649.889,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674285648.771,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674285632.261,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674285620.372,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Wallet,1674285616.985,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674285615.686,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Dashboard,1674285614.66,63ca75c716b08dc72ba182ae::80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Splash,1674285572.812,80871537-8784-44c3-b26d-c9948f485d6c,Gurgaon,IN,Android,
Dashboard,1674284040.575,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674284034.72,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsMonthly,1674284033.673,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
TripsDaily,1674284029,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674284020.821,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674284011.883,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
GeoFencingList,1674284005.474,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674283999.356,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
SpeedRanges,1674283998.56,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674283982.16,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
DrivingAlerts,1674283979.764,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
DrivingAlerts,1674283971.089,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674283968.294,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
DrivingAlerts,1674283967.268,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
DrivingAlerts,1674283939.203,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AlertSettings,1674283939.04,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674283938.009,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
FirmwareUpdateMain,1674283936.697,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674283934.34,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
CarDetails,1674283933.361,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
CarDetails,1674283932.997,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
Profile,1674283929.723,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
AccountDetails,1674283928.679,63ca75c716b08dc72ba182ae::0fdf3cd8-982f-4e52-9ad7-49f28cc35548,Gurgaon,IN,Android,63ca75c716b08dc72ba182ae
