Event Name,Time,Distinct ID,City,Country,Operating System
App Session,1675839203.25,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675838629.824,62fcebdafffb03e8836557da::6FD4FBB9-9344-40FC-9087-E8357D07FA97,Delhi,IN,iOS
App Session,1675838532.195,62fcebdafffb03e8836557da::6FD4FBB9-9344-40FC-9087-E8357D07FA97,Gurgaon,IN,iOS
App Session,1675838008.164,630f67859354800434249bd7::6fa01fd9-ff1d-4252-a5b3-1156f56d60b6,Gurgaon,IN,Android
App Session,1675837901.73,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675837866.388,630f67859354800434249bd7::6fa01fd9-ff1d-4252-a5b3-1156f56d60b6,Gurgaon,IN,Android
App Session,1675837603.978,62fcebdafffb03e8836557da::6FD4FBB9-9344-40FC-9087-E8357D07FA97,Gurgaon,IN,iOS
App Session,1675837599.631,634fdafbbb306f10d0383e4d::10e1bf71-95e8-4fbb-b554-77119dfe9cc4,Delhi,IN,Android
App Session,1675837596.046,630f67859354800434249bd7::6fa01fd9-ff1d-4252-a5b3-1156f56d60b6,Gurgaon,IN,Android
App Session,1675836116.857,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675834686.145,6361158c8af73a34286bba18::1DD3935E-55C7-41EB-A1F5-6A720712066E,Delhi,IN,iOS
App Session,1675833745.701,63442592bb306f10d0383675::8fa3feac-33f4-4291-bace-1cdf99a7951c,Delhi,IN,Android
App Session,1675833451.765,6342b3a18af73a10b366f58e::b170f764-4561-43d2-b4cb-1963b8e9861d,Delhi,IN,Android
App Session,1675833370.268,6361158c8af73a34286bba18::1DD3935E-55C7-41EB-A1F5-6A720712066E,Delhi,IN,iOS
App Session,1675833082.312,63038b4f93548059bfc302ac::a317b015-33aa-4e32-8a54-472367ad52ca,Delhi,IN,Android
App Session,1675832671.43,634fdafbbb306f10d0383e4d::10e1bf71-95e8-4fbb-b554-77119dfe9cc4,Delhi,IN,Android
App Session,1675832193.926,6347d8a88af73a10abdbac35::15cebe07-0e54-4b2a-9a38-b2cb6b73ddec,Udaipur,IN,Android
App Session,1675831995.291,637f3a1e54246f10ad1c36b2::E5A869C4-1D5F-4A00-B273-05853099AE01,Delhi,IN,iOS
App Session,1675831924.177,634bf247bb306f10d0383c13::b38da594-df69-47c0-a1c3-6a7221be1db4,Delhi,IN,Android
App Session,1675831889.794,634b9ca2bb306f10b646d11a::fd5a3d9c-9cda-43be-b772-6c7d2a5b2f18,Delhi,IN,Android
App Session,1675831755.516,634bf247bb306f10d0383c13::b38da594-df69-47c0-a1c3-6a7221be1db4,Delhi,IN,Android
App Session,1675831718.989,634bf247bb306f10d0383c13::b38da594-df69-47c0-a1c3-6a7221be1db4,Delhi,IN,Android
App Session,1675830939.953,6294a84d18c98369640649fe::6c1e91df-217e-4fbf-9145-45ecf36ad9a1,Delhi,IN,Android
App Session,1675830900.425,6342b3a18af73a10b366f58e::b170f764-4561-43d2-b4cb-1963b8e9861d,Delhi,IN,Android
App Session,1675830808.118,630f397a9354800431deb6c8::2041dab2-0b7f-4ca7-8016-6eecd0408fb2,Gurgaon,IN,Android
App Session,1675830744.837,630f397a9354800431deb6c8::2041dab2-0b7f-4ca7-8016-6eecd0408fb2,Gurgaon,IN,Android
App Session,1675830476.094,6294b02918c9836964064a05::F023C24C-9E09-424A-8BFE-308121EB18E6,Delhi,IN,iOS
App Session,1675830324.929,6319a74ab348157ff9e57c11::69c1b47c-d07b-468c-839b-ddacd49b09bc,Shimla,IN,Android
App Session,1675829866.205,6342b3a18af73a10b366f58e::b170f764-4561-43d2-b4cb-1963b8e9861d,Delhi,IN,Android
App Session,1675829764.624,62ed22b8bd000347e5671c67::7AC0C325-753E-47E2-857C-A0C9FF6A11E7,Delhi,IN,iOS
App Session,1675829395.917,62ed22b8bd000347e5671c67::7AC0C325-753E-47E2-857C-A0C9FF6A11E7,Delhi,IN,iOS
App Session,1675828738.399,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675828312.948,63415ff1bb306f10d03834f3::d34955cd-c035-48b2-839d-4d8a9b0a515e,Delhi,IN,Android
App Session,1675828282.043,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675828270.078,62f2679ebd00034e6926c729::95cada26-5abf-4d28-8f45-397fd67428b8,Ludhiana,IN,Android
App Session,1675828202.294,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675827711.679,6361126fbb306f35198b68aa::6c6b3ee7-a259-4d79-be30-71eef44a61e5,Delhi,IN,Android
App Session,1675827689.076,634288238af73a10f2c652d2::bd753025-7c56-4e23-9a7f-d2d9a71855c1,Delhi,IN,Android
App Session,1675827613.723,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675827333.217,6294b02918c9836964064a05::F023C24C-9E09-424A-8BFE-308121EB18E6,Delhi,IN,iOS
App Session,1675827299.592,63401afde5d9ff7265712691::d07a4b71-24dd-4e65-abdd-aa8d37ea3548,Delhi,IN,Android
App Session,1675827239.67,6344e2dfbb306f10b646cedf::0D750CE3-487D-4257-AAFE-AEAFE0D34CA3,Delhi,IN,iOS
App Session,1675827135.734,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675827018.845,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675826965.615,631868bae5d9ff7fd66f6807::893b6ed5-b1fc-4691-b568-28a82e2a5ff5,Jaipur,IN,Android
App Session,1675826730.563,634b9ca2bb306f10b646d11a::fd5a3d9c-9cda-43be-b772-6c7d2a5b2f18,Delhi,IN,Android
App Session,1675825733.21,6364cf7e12f7a110c793c6dc::09f50a60-3934-42d5-8759-3b1115e6f759,Delhi,IN,Android
App Session,1675823900.784,634fdafbbb306f10d0383e4d::10e1bf71-95e8-4fbb-b554-77119dfe9cc4,Delhi,IN,Android
App Session,1675822601.969,63451abfbb306f10d03836e9::58e81b48-b84d-4f19-8bca-8faffd90f92a,Delhi,IN,Android
App Session,1675822553.707,63639bf412f7a110c793c65b::B70E5C9D-27FA-41F6-8C73-66F66056A5B9,Delhi,IN,iOS
App Session,1675820458.064,6347ca76bb306f10bda62cde::95BC68BF-5F13-43E2-A3D2-561A02CFC066,Delhi,IN,iOS
App Session,1675820434.962,6347ca76bb306f10bda62cde::95BC68BF-5F13-43E2-A3D2-561A02CFC066,Delhi,IN,iOS
App Session,1675819430.838,635ab2348af73a34238ed179::92cb8622-2464-4a0d-a3c3-1953b022e6f7,Delhi,IN,Android
App Session,1675818931.84,63451a538af73a10b050b7d9::fe38f2bf-9834-4efa-a17a-77a81c6e15a4,Delhi,IN,Android
App Session,1675818864.743,6347e2758af73a10f2c65586::59969498-f317-4de8-b3f4-faf3cbce79b8,Gurgaon,IN,Android
App Session,1675818843.379,63451a538af73a10b050b7d9::fe38f2bf-9834-4efa-a17a-77a81c6e15a4,Delhi,IN,Android
App Session,1675816948.095,6347d8a88af73a10abdbac35::15cebe07-0e54-4b2a-9a38-b2cb6b73ddec,Delhi,IN,Android
App Session,1675816932.034,6347d8a88af73a10abdbac35::15cebe07-0e54-4b2a-9a38-b2cb6b73ddec,Delhi,IN,Android
App Session,1675813485.087,62fa241693548010e70dad25::5937d526-b0e9-4b79-b1e0-2046eb0e33d8,Delhi,IN,Android
App Session,1675811693.112,62aed8b54d502f7260c696d2::60ACBF39-0C74-4277-BA13-C2A06C96CC67,Delhi,IN,iOS
App Session,1675799745.43,6334258cb348150e50ba311d::81F4BFD5-EF15-4B80-9504-9A8906D93A66,Delhi,IN,iOS
App Session,1675799706.467,6334258cb348150e50ba311d::81F4BFD5-EF15-4B80-9504-9A8906D93A66,Delhi,IN,iOS
App Session,1675798915.337,63441913bb306f10b646cec6::3911add2-f981-4353-81b8-1da3d70a4e9c,Delhi,IN,Android
App Session,1675797142.278,62c97d51bd0003299d1600ef::5d722a96-4421-4b22-bb28-deda9fbd55d9,Gurgaon,IN,Android
App Session,1675796996.146,62ac70c14d502f7260c696ca::7F4038A2-C341-409E-AC0F-95722114FDA9,Delhi,IN,iOS
App Session,1675795962.103,63629e9c8af73a342642bc01::1b41fe4d-95aa-4c16-aed1-5f094fea168c,Bahadurgarh,IN,Android
App Session,1675795755.878,6336da0cb348150e50ba322f::21AD4689-CDC5-4153-84A6-4DBA6AEC45E2,Delhi,IN,iOS
App Session,1675795524.112,6336da0cb348150e50ba322f::21AD4689-CDC5-4153-84A6-4DBA6AEC45E2,Delhi,IN,iOS
App Session,1675795107.082,63629e9c8af73a342642bc01::1b41fe4d-95aa-4c16-aed1-5f094fea168c,Bahadurgarh,IN,Android
