Date,Event,OS,"Oct 8 2022, 12:00AM - Apr 6 2023, 3:50PM"
2023-03-03,App Session - DAU,iPadOS,0
2023-03-03,App Session - DAU,macOS,0
2023-03-04,App Session - DAU,Android,1
2023-03-04,App Session - DAU,iOS,1
2023-03-04,App Session - DAU,iPadOS,0
2023-03-04,App Session - DAU,macOS,0
2023-03-05,App Session - DAU,Android,1
2023-03-05,App Session - DAU,iOS,0
2023-03-05,App Session - DAU,iPadOS,0
2023-03-05,App Session - DAU,macOS,0
2023-03-06,App Session - DAU,Android,2
2023-03-06,App Session - DAU,iOS,1
2023-03-06,App Session - DAU,iPadOS,0
2023-03-06,App Session - DAU,macOS,0
2023-03-07,App Session - DAU,Android,3
2023-03-07,App Session - DAU,iOS,0
2023-03-07,App Session - DAU,iPadOS,0
2023-03-07,App Session - DAU,macOS,0
2023-03-08,App Session - DAU,Android,1
2023-03-08,App Session - DAU,iOS,0
2023-03-08,App Session - DAU,iPadOS,0
2023-03-08,App Session - DAU,macOS,0
2023-03-09,App Session - DAU,Android,1
2023-03-09,App Session - DAU,iOS,0
2023-03-09,App Session - DAU,iPadOS,0
2023-03-09,App Session - DAU,macOS,0
2023-03-10,App Session - DAU,Android,3
2023-03-10,App Session - DAU,iOS,0
2023-03-10,App Session - DAU,iPadOS,0
2023-03-10,App Session - DAU,macOS,0
2023-03-11,App Session - DAU,Android,0
2023-03-11,App Session - DAU,iOS,0
2023-03-11,App Session - DAU,iPadOS,0
2023-03-11,App Session - DAU,macOS,0
2023-03-12,App Session - DAU,Android,3
2023-03-12,App Session - DAU,iOS,0
2023-03-12,App Session - DAU,iPadOS,0
2023-03-12,App Session - DAU,macOS,0
2023-03-13,App Session - DAU,Android,4
2023-03-13,App Session - DAU,iOS,0
2023-03-13,App Session - DAU,iPadOS,0
2023-03-13,App Session - DAU,macOS,0
2023-03-14,App Session - DAU,Android,2
2023-03-14,App Session - DAU,iOS,0
2023-03-14,App Session - DAU,iPadOS,0
2023-03-14,App Session - DAU,macOS,0
